state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-215,-50
Arkansas,40,-53
California,-340,13
Colorado,-125,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-216,110
Illinois,85,30
Indiana,133,39
Iowa,30,65
Kansas,-30,5
Kentucky,149,1
Louisiana,50,-130
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,130,101
Minnesota,15,158
Mississippi,94,-78
Missouri,40,0
Montana,-150,155
Nebraska,-61,60
Nevada,-265,45
New Hampshire,302,127
New Jersey,282,65
New Mexico,-150,-60
New York,236,104
North Carolina,239,-22
North Dakota,-65,158
Ohio,176,52
Oklahoma,-25,-45
Oregon,-290,130
Pennsylvania,238,72
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-65,109
Tennessee,131,-34
Texas,-38,-106
Utah,-190,30
Vermont,282,154
Virginia,234,12
Washington,-290,175
West Virginia,200,20
Wisconsin,60,113
Wyoming,-145,90
